Vuosi	Nimi	Miss	PP	Kolme	Lehd	Yleiso	Ika	Pituus	Paino	PI	Rinta	Vyot	Lantio	R-V	L-V	R-L	VRS	VLS	Hius	Asuinp	Nro	Turku	Hki
1996	Anitra Ahtola 	0	1	1	0	0	23	177	59	18,8	90	66	92	24	26	-2	0,73	0,72	0	0	0	0	1
1996	Karoliina Nenonen 	0	0	0	0	0	18	173	55	18,4	92	63	92	29	29	0	0,68	0,68	1	1	0	0	0
1996	Tiina Mustonen 	0	0	0	0	0	20	175	55	18,0	95	66	90	29	24	5	0,69	0,73	0	0	0	0	1
1996	Reetta Elovaara 	0	0	0	0	0	18	175	54	17,6	88	64	88	24	24	0	0,73	0,73	0	0	0	0	0
1996	Riikka Koivisto 	0	0	0	0	0	20	175	57	18,6	89	62	93	27	31	-4	0,70	0,67	1	1	0	0	0
1996	Linda Jaakkola 	0	0	0	0	0	20	180	58	17,9	90	66	93	24	27	-3	0,73	0,71	0	0	1	0	0
1996	Virpi Hytönen 	0	0	0	0	0	21	180	62	19,1	95	68	95	27	27	0	0,72	0,72	1	1	1	0	0
1996	Lola Odusoga 	1	0	1	1	1	18	174	57	18,8	89	61	93	28	32	-4	0,69	0,66	0	0	1	1	0
1996	Carina Riikonen 	0	0	0	0	0	19	168	51	18,1	84	65	90	19	25	-6	0,77	0,72	0	0	1	1	0
1996	Ulrika Wester 	0	1	1	0	0	21	180	60	18,5	91	66	90	25	24	1	0,73	0,73	0	1	1	0	0
1997	Satu Iso-Kuortti	0	0	0	0	0	22	174	56	18,5	90	63	90	27	27	0	0,70	0,70	1	1	0	0	0
1997	Taija Jurmu	0	1	1	0	1	20	169	52	18,2	88	62	90	26	28	-2	0,70	0,69	1	2	0	0	0
1997	Mari Kantoniemi	0	0	0	0	0	22	173	55	18,4	92	64	91	28	27	1	0,70	0,70	0	1	0	0	0
1997	Pilvi Järvenpää	0	0	0	0	0	20	172	54	18,3	89	59	89	30	30	0	0,66	0,66	0	2	0	0	0
1997	Karita Tuomola	1	0	1	0	0	20	174	60	19,8	90	65	92	25	27	-2	0,72	0,71	0	1	0	0	0
1997	Anna Eskola	0	0	0	0	0	21	178	57	18,0	81	63	90	18	27	-9	0,78	0,70	1	0	1	1	0
1997	Maria Drockila	0	1	1	1	0	19	172	57	19,3	91	64	91	27	27	0	0,70	0,70	0	0	1	0	0
1997	Katri Nygård	0	0	0	0	0	20	174	56	18,5	93	64	90	29	26	3	0,69	0,71	0	0	1	0	0
1997	Sanna Rantanen	0	0	0	0	0	20	175	54	17,6	85	64	88	21	24	-3	0,75	0,73	0	0	1	1	0
1997	Maria Hietanen	0	1	1	0	0	22	173	59	19,7	91	65	91	26	26	0	0,71	0,71	0	0	1	1	0
1998	Mandi Malek	0	1	1	1	0	20	173	56	18,7	89	62	87	27	25	2	0,70	0,71	0	0	0	0	1
1998	Kati Ketola	0	0	0	0	0	21	172	56	18,9	90	63	94	27	31	-4	0,70	0,67	0	0	0	0	0
1998	Jaana Forsman	0	0	0	0	0	18	172	52	17,6	88	62	92	26	30	-4	0,70	0,67	1	0	0	0	0
1998	Melina Järvinen	0	0	0	0	0	23	171	55	18,8	90	64	89	26	25	1	0,71	0,72	0	0	0	1	0
1998	Pauliina Kettunen	0	0	0	0	0	21	176	52	16,8	92	60	90	32	30	2	0,65	0,67	0	1	0	0	0
1998	Anu Pekkarinen	0	0	0	0	0	20	170	52	18,0	88	64	92	24	28	-4	0,73	0,70	1	0	1	0	0
1998	Henna Mäki-Kojola	0	0	0	0	0	20	180	58	17,9	91	62	93	29	31	-2	0,68	0,67	0	1	1	0	0
1998	Piia Hartikainen	0	1	1	0	0	20	178	55	17,4	88	62	92	26	30	-4	0,70	0,67	0	2	1	0	0
1998	Ellen Jokikunnas	0	0	0	0	1	21	170	55	19,0	90	63	94	27	31	-4	0,70	0,67	0	0	1	1	0
1998	Jonna Kauppila	1	0	1	0	0	21	175	60	19,6	92	64	96	28	32	-4	0,70	0,67	1	1	1	0	0
1999	Tiia Sihvonen	0	0	0	0	0	23	176	66	21,3	93	66	96	27	30	-3	0,71	0,69	0	0	0	0	0
